,index,start,arrival,KPrange,Kp,K,InRangeGlobal,InRangeLocal,timingKp,timingK,Onsetdst
0,CME-20240105T015300,2024-01-05T01:53:00,2024-01-08T09:39:00,2.66667 - 5.0,0,1,no,no,FA,FA,FA
1,CME-20240106T081200,2024-01-06T08:12:00,2024-01-09T13:00:00,2.0 - 4.5,1,2,no,yes,M,H,FA
2,CME-20240106T173600,2024-01-06T17:36:00,2024-01-10T01:00:00,2.0 - 4.0,1,2,no,yes,H,H,FA
3,CME-20240109T154800,2024-01-09T15:48:00,2024-01-12T10:00:00,3.0 - 4.5,0.33333333,0,no,no,FA,FA,FA
4,CME-20240120T092400,2024-01-20T09:24:00,2024-01-22T16:50:00,4.44444 - 6.44444,2,2,no,no,M,FA,FA
5,CME-20240121T003600,2024-01-21T00:36:00,2024-01-23T11:41:00,3.8 - 5.4,1,1,no,no,M,M,FA
6,CME-20240122T104800,2024-01-22T10:48:00,2024-01-25T09:33:00,3.0 - 5.25,0.66666667,1,no,no,M,M,FA
7,CME-20240122T223600,2024-01-22T22:36:00,2024-01-26T16:52:00,2.75 - 4.5,1.66666667,2,no,no,M,M,FA
8,CME-20240123T034800,2024-01-23T03:48:00,2024-01-26T09:19:00,2.0 - 4.0,0.33333333,0,no,no,FA,FA,FA
9,CME-20240123T041200,2024-01-23T04:12:00,2024-01-26T11:24:00,3.0 - 5.2,1,1,no,no,FA,FA,FA
10,CME-20240123T072400,2024-01-23T07:24:00,2024-01-26T12:26:00,3.0 - 5.0,1,1,no,no,FA,FA,FA
11,CME-20240123T173600,2024-01-23T17:36:00,2024-01-26T20:30:00,3.5 - 5.0,1.33333333,1,no,no,FA,FA,FA
12,CME-20240124T013600,2024-01-24T01:36:00,2024-01-28T02:00:00,3.0 - 5.0,0.66666667,1,no,no,M,M,FA
13,CME-20240129T043800,2024-01-29T04:38:00,2024-01-31T03:34:00,3.42857 - 5.42857,2,0,no,no,FA,M,FA
14,CME-20240201T080000,2024-02-01T08:00:00,2024-02-04T00:44:00,3.5 - 5.5,0.33333333,1,no,no,M,FA,FA
15,CME-20240202T041700,2024-02-02T04:17:00,2024-02-05T20:00:00,2.0 - 3.0,1.66666667,2,no,yes,H,H,FA
16,CME-20240206T025300,2024-02-06T02:53:00,2024-02-09T02:21:00,2.0 - 3.0,1,0,no,no,M,M,FA
17,CME-20240206T134800,2024-02-06T13:48:00,2024-02-10T12:00:00,2.0 - 3.5,2,2,yes,yes,H,H,M
